code,name,fund_type,规模(亿),window,strategy,annualized_return_pct,max_drawdown_pct,sharpe_ratio,win_rate_pct,total_return_pct,vs_lump_sum_pct,score
020483,中欧中证芯片产业指数发起C,指数型-股票,3.85,0.5y,价值平均法,101.02,14.23,2.673,80.0,41.78,-12.78,50.18
002560,诺安和鑫混合A,混合型-灵活,20.53,0.5y,价值平均法,95.62,10.75,3.247,80.0,39.87,-12.39,50.13
011822,易方达产业升级混合A,混合型-偏股,25.58,0.5y,价值平均法,90.49,9.86,3.441,100.0,38.02,-20.74,50.04
159813,半导体ETF鹏华,指数型-股票,57.0,0.5y,价值平均法,101.55,16.13,2.536,80.0,41.97,-11.02,50.04
001239,长盛国企改革混合,混合型-灵活,4.91,0.5y,价值平均法,100.11,13.06,2.953,80.0,41.46,-19.75,49.98
012552,天弘芯片产业ETF联接A,指数型-股票,2.49,0.5y,价值平均法,100.46,14.15,2.642,80.0,41.58,-12.33,49.95
018993,中欧数字经济混合发起A,混合型-偏股,43.96,0.5y,价值平均法,97.24,9.4,2.732,83.3,40.44,-13.44,49.92
012553,天弘芯片产业ETF联接C,指数型-股票,7.4,0.5y,价值平均法,100.23,14.16,2.636,80.0,41.5,-12.25,49.86
012301,易方达核心智造混合,混合型-偏股,17.58,0.5y,价值平均法,91.39,12.05,3.374,100.0,38.34,-20.86,49.85
011823,易方达产业升级混合C,混合型-偏股,12.58,0.5y,价值平均法,89.99,9.88,3.426,100.0,37.84,-20.61,49.82
007300,国联安中证半导体ETF联接A,指数型-股票,11.63,0.5y,价值平均法,99.79,13.81,2.717,80.0,41.35,-13.76,49.79
014418,西部利得CES芯片指数增强A,指数型-股票,3.33,0.5y,价值平均法,99.88,15.38,2.763,80.0,41.38,-14.14,49.75
515260,电子ETF华宝,指数型-股票,4.45,0.5y,价值平均法,97.92,12.2,2.634,80.0,40.68,-7.21,49.74
159732,消费电子ETF华夏,指数型-股票,16.21,0.5y,价值平均法,97.15,11.37,2.858,80.0,40.41,-11.75,49.68
007301,国联安中证半导体ETF联接C,指数型-股票,20.13,0.5y,价值平均法,99.5,13.82,2.709,80.0,41.24,-13.67,49.67
011300,易方达智造优势混合A,混合型-偏股,24.19,0.5y,价值平均法,89.57,9.99,3.429,100.0,37.68,-20.51,49.66
000940,富国中小盘精选混合A,混合型-偏股,30.07,0.5y,价值平均法,89.28,6.67,3.035,100.0,37.58,-18.81,49.63
018412,易方达芯片ETF联接C,指数型-股票,4.69,0.5y,价值平均法,99.56,14.18,2.633,80.0,41.27,-12.1,49.62
014419,西部利得CES芯片指数增强C,指数型-股票,4.64,0.5y,价值平均法,99.41,15.41,2.75,80.0,41.21,-14.0,49.56
